"","player_name","overall_rating","player_api_id","sum_gk","Number_of_appearances","leagues_played"
"9663","Mimoun Mahi",70,359461,52,17,1
"9664","Ben Greenhalgh",49,360108,55,1,1
"9665","Florent Zitte",61,360156,49,4,1
"9666","Opa Nguette",70,360166,45,15,1
"9667","Cleyton",69,360509,43,37,1
"9668","Salim Cisse",69,360510,56,28,1
"9669","Hakim Ziyech",78,360559,51,94,1
"9670","Oussama Tannane",72,360560,43,47,2
"9671","Johny",76,360918,45,108,1
"9672","Mamadou Ba",63,361013,321,1,1
"9673","Avto",66,361055,54,31,1
"9674","Luis Gustavo",67,361307,52,11,1
"9675","Minhoca",72,361311,52,28,1
"9676","Rafael Veloso",61,361314,305,1,1
"9677","Eric Dier",76,361315,53,82,2
"9678","Fabris Fokobo",68,361316,56,2,1
"9679","Nii Plange",70,361320,47,43,1
"9680","Iuri Medeiros",75,361321,43,41,1
"9681","Bruma",79,361322,52,25,2
"9682","Tobias Figueiredo",76,361326,51,13,1
"9683","Konrad Jalocha",54,361334,273,2,1
"9684","Luis Aurelio",69,361337,57,27,1
"9685","Cristian Amado",69,361340,58,3,1
"9686","Dyego Sousa",69,361341,50,32,1
"9687","Bruninho",64,361371,47,4,1
"9688","Paulinho",62,361377,54,12,1
"9689","Frederico Venancio",72,361379,57,84,1
"9690","Luan",67,361380,35,27,1
"9691","Karol Linetty",73,361403,52,61,1
"9692","Wojciech Zyska",54,361661,49,11,1
"9693","Goncalo Silva",65,361700,55,15,1
"9694","Aderlan Santos",80,361710,56,83,2
"9695","Afonso",74,361711,52,44,1
"9696","Adam Dzwigala",60,361712,56,29,1
"9697","Maciej Gajos",71,361714,40,79,1
"9698","Rui Silva",67,361717,335,30,1
"9699","Nuno Campos",64,361718,61,16,1
"9700","Victor Nikiema",60,361721,59,9,1
"9701","Helder Lopes",72,361723,56,99,1
"9702","Diogo Coelho",57,361735,48,1,1
"9703","Ricardo Valente",75,361736,59,35,1
"9704","Edgar Abreu",62,361742,55,5,1
