"","team_long_name","team_api_id","buildUpPlay","chanceCreation","defense","fielded_Players","total_goals"
"216","Juventus",9885,115,195,169,86,543
"217","Lecce",9888,100,175,165,63,121
"218","Frosinone",9891,157,156,193,28,35
"219","Hannover 96",9904,144,175,210,86,359
"220","1. FSV Mainz 05",9905,178,185,170,81,320
"221","Atlético Madrid",9906,157,206,160,85,524
"222","FC Utrecht",9908,152,182,159,100,408
"223","RC Celta de Vigo",9910,169,179,169,49,184
"224","VfL Bochum",9911,164,172,172,31,72
"225","DSC Arminia Bielefeld",9912,166,165,138,20,29
"226","Celtic",9925,180,205,200,107,695
"227","Motherwell",9927,172,205,200,93,403
"228","FC Aarau",9930,156,181,150,59,153
"229","FC Basel",9931,170,186,180,87,619
"230","Dundee United",9938,171,205,200,95,438
"231","Toulouse FC",9941,158,165,140,80,339
"232","Grasshopper Club Zürich",9956,164,184,160,105,429
"233","Bari",9976,157,193,161,46,76
"234","KSV Cercle Brugge",9984,145,200,195,65,213
"235","Standard de Liège",9985,161,182,205,115,341
"236","Sporting Charleroi",9986,160,148,210,92,201
"237","KRC Genk",9987,148,182,205,76,348
"238","Lierse SK",9989,171,169,159,94,113
"239","KAA Gent",9991,142,184,166,89,390
"240","Beerschot AC",9993,110,185,210,73,174
"241","Sporting Lokeren",9994,159,154,200,71,279
"242","Royal Excel Mouscron",9996,150,150,140,14,42
"243","Sint-Truidense VV",9997,107,154,150,73,115
"244","RAEC Mons",9998,160,168,138,47,129
"245","KSV Roeselare",9999,125,125,205,27,62
"246","SV Zulte-Waregem",10000,147,153,200,88,306
"247","KVC Westerlo",10001,148,167,210,80,217
"248","Swansea City",10003,135,210,210,56,233
"249","Parma",10167,152,176,166,86,272
"250","Queens Park Rangers",10172,141,210,210,63,115
"251","FC Sion",10179,155,177,146,105,371
"252","FC Schalke 04",10189,143,195,185,88,426
"253","FC St. Gallen",10190,146,157,155,77,276
"254","FC Thun",10191,152,166,145,68,279
"255","BSC Young Boys",10192,172,202,170,82,529
"256","Stoke City",10194,150,195,153,68,322
"257","FC Luzern",10199,165,175,153,73,421
"258","Villarreal CF",10205,126,161,165,90,364
"259","SC Beira Mar",10211,94,165,155,47,93
"260","CS Marítimo",10212,182,186,144,97,316
"261","CD Nacional",10214,167,165,156,102,332
"262","Académica de Coimbra",10215,150,172,151,109,240
"263","ADO Den Haag",10217,162,181,173,84,366
"264","Excelsior",10218,163,162,106,66,154
"265","RKC Waalwijk",10219,142,159,150,63,153
"266","SC Heerenveen",10228,150,171,183,88,470
"267","AZ",10229,154,185,184,77,492
"268","Genoa",10233,184,182,154,139,392
"269","Feyenoord",10235,154,165,160,83,489
"270","Vitória Setúbal",10238,149,165,140,123,238
"271","ES Troyes AC",10242,148,150,140,45,71
"272","FC Zürich",10243,157,165,163,73,468
"273","Montpellier Hérault SC",10249,162,160,210,61,344
"274","Hibernian",10251,148,200,200,93,259
"275","Aston Villa",10252,170,185,145,82,335
"276","Manchester United",10260,134,200,163,69,582
"277","Newcastle United",10261,152,195,161,78,324
"278","SC Braga",10264,145,166,150,122,398
"279","Wisła Kraków",10265,135,183,205,61,332
"280","Valencia CF",10267,116,185,175,91,484
"281","Elche CF",10268,171,165,158,38,65
"282","VfB Stuttgart",10269,168,200,175,81,415
"283","Hércules Club de Fútbol",10278,154,178,160,24,36
"284","Real Valladolid",10281,153,172,161,68,170
"285","AC Arles-Avignon",108893,156,141,158,29,21
"286","FC Arouca",158085,174,160,113,52,101
"287","Carpi",208931,190,160,141,34,37
"288","Royal Excel Mouscron",274581,150,150,140,47,71
